"Spalte1";"STARTED";"AA03_01";"AA03_02";"AA03_03";"AA03_04";"AA03_SUM";"AA05";"AA05_01";"AA05_02";"AA05_03";"AA05_04";"AA05_SUM";"AA06";"AA08";"AA08_01";"AA08_02";"AA08_03";"AA08_04";"AA08_SUM";"AE04_01";"AE06_01";"AE08_01";"AE22";"AE22_01";"AE22_02";"AE22_03";"AE22_04";"AE22_SUM";"AE23";"AE23_01";"AE23_02";"AE23_03";"AE23_04";"AE23_SUM";"AE26";"AE26_01";"AE26_02";"AE26_03";"AE26_04";"AE26_SUM";"IV01_01";"IV01_02";"IV01_03";"IV01_04";"IV01_05";"IV01_06";"IV01_07";"IV01_08";"IV01_09";"IV01_10";"IV01_11";"IV01_12";"IV02_01";"IV02_02";"IV02_03";"IV02_04";"IV02_05";"IV02_06";"KF01";"KF02";"KF03";"KF04";"KF05_01";"KF05_02";"KF05_03";"RD01_CP";"RD01";"SD01";"SD02_01";"SD03";"SD03_07";"SD04";"SD04_10";"SD05";"SD06";"SD07";"SD08";"TOTAL_SCORE";"TOTAL_SCORE_HARD";"TOTAL_SCORE_EASY"
"275";"2024-04-25 15:25:55";1;1;1;0;3;"1";0;1;0;0;1;"2";"2";0;0;0;1;1;1;0;1;"1";1;1;1;1;4;"1";1;0;1;1;3;"2";0;0;1;1;2;"4";"2";"0";"";"";"";"";"0";"1";"";"";"2";"3";"";"2";"";"";"1";"7";"0";"selten";"oft";"trifft vollständig zu";"trifft teilweise zu";"trifft gar nicht zu";"6";"3";"Männlich";"21";"Student/in";"";"Abitur";"";"Ich habe Deutsch als erste Fremdsprache gelernt.";NA;NA;NA;16;5;11
"276";"2024-04-25 15:28:59";1;1;1;0;3;"1";0;1;0;0;1;"3";"2";1;1;1;0;3;0;0;0;"2";0;0;0;1;1;"2";0;1;1;0;2;"2";0;0;1;1;2;"5";"4";"7";"";"";"";"";"3";"2";"";"";"2";"3";"";"2";"";"";"3";"6";"1";"Ich arbeite zur Zeit nicht.";"nie";"trifft teilweise zu";"trifft eher zu";"trifft vollständig zu";"5";"3";"Männlich";"20";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;12;7;5
"296";"2024-04-25 15:54:12";0;1;0;0;1;"1";1;1;1;0;3;"2";"1";0;0;1;1;2;1;1;0;"3";1;1;0;0;2;"3";1;1;0;1;3;"3";0;1;0;0;1;"5";"0";"4";"";"";"";"";"2";"1";"";"";"3";"3";"";"2";"";"";"2";"7";"0";"selten";"selten";"trifft eher zu";"trifft vollständig zu";"trifft teilweise zu";"7";"3";"Weiblich";"23";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;14;6;8
"298";"2024-04-25 15:56:50";1;1;0;1;3;"1";1;0;0;0;1;"1";"3";1;1;0;0;2;0;0;0;"1";0;0;1;1;2;"1";1;0;0;0;1;"1";1;1;0;1;3;"9";"10";"9";"";"";"";"";"2";"3";"";"";"1";"1";"";"2";"";"";"2";"7";"0";"Ich arbeite zur Zeit nicht.";"eher selten";"trifft eher nicht zu";"trifft teilweise zu";"trifft eher zu";"7";"1";"Weiblich";"26";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;12;6;6
"299";"2024-04-25 16:03:32";1;0;0;1;2;"1";1;1;0;1;3;"2";"3";1;0;0;1;2;1;1;1;"1";1;1;1;1;4;"2";1;1;1;1;4;"2";1;1;1;1;4;"0";"0";"0";"";"";"";"";"0";"0";"";"";"0";"0";"";"0";"";"";"0";"7";"3";"Ich arbeite zur Zeit nicht.";"oft";"trifft vollständig zu";"trifft eher zu";"trifft teilweise zu";"8";"1";"Männlich";"21";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;22;7;15
"318";"2024-04-25 16:51:03";0;0;0;0;0;"3";0;0;1;0;1;"3";"3";0;1;0;1;2;1;1;0;"3";0;1;1;0;2;"2";0;0;1;1;2;"2";1;0;1;0;2;"2";"0";"5";"";"";"";"";"2";"2";"";"";"2";"2";"";"4";"";"";"2";"7";"2";"immer";"oft";"trifft teilweise zu";"trifft eher nicht zu";"trifft vollständig zu";"10";"2";"Weiblich";"20";"Student/in";"";"Abitur";"";"Ich habe Deutsch als erste Fremdsprache gelernt.";NA;NA;NA;11;3;8
"319";"2024-04-25 16:53:22";1;1;1;0;3;"1";0;1;0;0;1;"2";"2";1;1;1;1;4;0;0;1;"1";1;1;1;1;4;"2";1;1;1;1;4;"2";0;0;1;1;2;"0";"1";"0";"";"";"";"";"0";"0";"";"";"2";"3";"";"2";"";"";"3";"6";"0";"manchmal";"manchmal";"trifft vollständig zu";"trifft vollständig zu";"trifft eher zu";"10";"1";"Weiblich";"21";"Student/in";"";"Sonstige:";"Abitur & Abgeschlossene Ausbildung";"Deutsch ist meine Muttersprache.";NA;NA;NA;19;8;11
"320";"2024-04-25 16:54:36";0;0;0;1;1;"1";0;1;0;0;1;"1";"1";0;0;1;0;1;1;0;0;"1";1;1;1;1;4;"1";1;1;1;0;3;"1";1;0;0;0;1;"3";"5";"6";"";"";"";"";"0";"1";"";"";"3";"1";"";"2";"";"";"2";"7";"2";"immer";"immer";"trifft vollständig zu";"trifft vollständig zu";"trifft eher zu";"10";"3";"Weiblich";"25";"Student/in";"";"Hochschulabschluss";"";"Ich habe Deutsch als erste Fremdsprache gelernt.";NA;NA;NA;12;3;9
"326";"2024-04-25 19:01:26";1;0;0;1;2;"1";1;1;0;1;3;"2";"3";1;0;0;1;2;1;0;1;"1";1;1;1;1;4;"2";1;1;1;1;4;"1";1;1;0;1;3;"4";"5";"0";"";"";"";"";"0";"0";"";"";"1";"0";"";"0";"";"";"0";"7";"2";"eher selten";"manchmal";"trifft eher zu";"trifft vollständig zu";"trifft eher zu";"11";"1";"Männlich";"21";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;20;7;13
"332";"2024-04-25 19:19:50";0;1;0;1;2;"2";0;1;0;1;2;"2";"2";1;1;1;0;3;0;1;1;"1";1;1;1;1;4;"2";1;1;1;1;4;"4";0;1;1;0;2;"1";"0";"0";"";"";"";"";"0";"0";"";"";"2";"2";"";"1";"";"";"3";"7";"0";"nie";"nie";"trifft eher zu";"trifft vollständig zu";"trifft vollständig zu";"11";"2";"Männlich";"23";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;19;7;12
"335";"2024-04-25 19:57:07";0;1;0;1;2;"1";1;1;1;0;3;"2";"2";0;0;0;1;1;1;0;1;"2";1;1;0;1;3;"3";1;1;0;1;3;"3";0;0;1;0;1;"0";"4";"0";"";"";"";"";"1";"1";"";"";"3";"2";"";"2";"";"";"1";"5";"1";"eher oft";"oft";"trifft vollständig zu";"trifft vollständig zu";"trifft eher nicht zu";"12";"1";"Weiblich";"24";"Student/in";"";"Fachhochschulabschluss";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;15;6;9
"338";"2024-04-25 20:07:22";1;0;0;0;1;"1";0;1;0;0;1;"1";"1";1;0;1;0;2;0;0;0;"2";1;1;0;1;3;"2";1;1;1;1;4;"3";1;1;1;0;3;"0";"3";"1";"";"";"";"";"1";"0";"";"";"1";"1";"";"2";"";"";"2";"3";"0";"selten";"selten";"trifft eher zu";"trifft vollständig zu";"trifft teilweise zu";"12";"2";"Weiblich";"24";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;14;4;10
"339";"2024-04-25 20:07:56";1;0;0;0;1;"1";0;1;0;0;1;"2";"2";1;1;1;1;4;0;0;0;"1";1;1;1;1;4;"2";1;1;1;1;4;"2";1;1;1;1;4;"2";"4";"2";"";"";"";"";"0";"0";"";"";"0";"1";"";"2";"";"";"3";"7";"1";"oft";"manchmal";"trifft eher zu";"trifft vollständig zu";"trifft vollständig zu";"12";"3";"Männlich";"21";"Auszubildende/r";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;18;6;12
"367";"2024-04-26 18:47:49";1;0;0;1;2;"2";1;0;0;1;2;"2";"3";0;1;0;1;2;1;0;1;"2";1;1;1;0;3;"2";1;1;1;1;4;"2";1;1;1;1;4;"4";"6";"0";"";"";"";"";"1";"0";"";"";"0";"0";"";"1";"";"";"2";"3";"4";"selten";"selten";"trifft vollständig zu";"trifft vollständig zu";"trifft eher zu";"14";"1";"Männlich";"23";"Auszubildende/r";"";"Fachabitur";"";"Ich habe Deutsch als erste Fremdsprache gelernt.";NA;NA;NA;19;6;13
"368";"2024-04-26 19:03:08";0;1;0;1;2;"1";0;1;0;0;1;"2";"2";1;0;0;1;2;0;0;0;"3";0;0;0;0;0;"3";0;1;1;1;3;"4";0;1;1;0;2;"1";"4";"4";"";"";"";"";"4";"1";"";"";"2";"2";"";"2";"";"";"1";"7";"7";"eher selten";"eher selten";"trifft eher zu";"trifft vollständig zu";"trifft teilweise zu";"14";"3";"Weiblich";"22";"Auszubildende/r";"";"Abitur";"";"Ich habe Deutsch als erste Fremdsprache gelernt.";NA;NA;NA;10;5;5
"370";"2024-04-26 19:23:46";1;0;0;1;2;"2";1;0;0;1;2;"2";"3";1;0;0;1;2;1;1;1;"1";1;1;1;1;4;"2";1;1;1;1;4;"3";0;1;1;1;3;"0";"0";"0";"";"";"";"";"0";"0";"";"";"1";"0";"";"1";"";"";"0";"7";"1";"Ich arbeite zur Zeit nicht.";"eher oft";"trifft vollständig zu";"trifft vollständig zu";"trifft teilweise zu";"14";"2";"Männlich";"20";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;20;6;14
"372";"2024-04-26 20:28:58";0;0;0;1;1;"3";0;0;0;1;1;"3";"2";1;0;0;1;2;0;0;0;"1";1;1;1;1;4;"3";0;1;1;1;3;"3";1;1;1;0;3;"0";"2";"1";"";"";"";"";"0";"1";"";"";"1";"1";"";"2";"";"";"1";"7";"0";"eher selten";"eher oft";"trifft vollständig zu";"trifft vollständig zu";"trifft eher zu";"15";"3";"Männlich";"22";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;14;4;10
"373";"2024-04-26 20:48:49";1;0;0;1;2;"2";1;0;0;1;2;"2";"3";1;0;0;1;2;1;1;1;"1";1;1;1;1;4;"3";0;1;1;1;3;"2";1;1;1;1;4;"0";"0";"0";"";"";"";"";"0";"1";"";"";"0";"0";"";"1";"";"";"0";"7";"1";"Ich arbeite zur Zeit nicht.";"manchmal";"trifft eher zu";"trifft vollständig zu";"trifft vollständig zu";"15";"2";"Männlich";"19";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;20;6;14
"374";"2024-04-26 21:10:49";1;0;0;1;2;"2";1;1;1;1;4;"1";"1";0;0;1;1;2;1;0;1;"1";1;1;1;1;4;"2";1;1;1;1;4;"1";1;1;0;1;3;"0";"3";"0";"";"";"";"";"0";"0";"";"";"1";"0";"";"1";"";"";"2";"5";"1";"eher selten";"manchmal";"trifft vollständig zu";"trifft gar nicht zu";"trifft eher nicht zu";"15";"1";"Männlich";"21";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;21;8;13
"375";"2024-04-26 23:22:52";0;0;0;0;0;"2";0;0;0;0;0;"2";"1";0;1;1;0;2;0;0;0;"2";1;1;0;1;3;"2";1;1;1;1;4;"2";0;0;0;0;0;"5";"5";"3";"";"";"";"";"1";"0";"";"";"4";"2";"";"3";"";"";"4";"5";"5";"eher oft";"eher selten";"trifft teilweise zu";"trifft vollständig zu";"trifft teilweise zu";"16";"3";"Weiblich";"24";"Auszubildende/r";"";"Abitur";"";"Ich spreche Deutsch als zweite Fremdsprache.";NA;NA;NA;9;2;7
"380";"2024-04-27 23:41:29";1;0;0;0;1;"1";0;1;0;0;1;"1";"1";1;0;1;1;3;0;1;1;"2";1;1;0;1;3;"2";1;1;1;1;4;"3";0;1;1;1;3;"0";"0";"0";"";"";"";"";"1";"0";"";"";"1";"1";"";"2";"";"";"2";"6";"0";"eher selten";"eher oft";"trifft eher zu";"trifft vollständig zu";"trifft eher zu";"16";"1";"Weiblich";"20";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;17;5;12
"384";"2024-04-28 18:06:18";1;1;1;0;3;"1";0;1;0;0;1;"1";"1";1;0;1;1;3;0;0;0;"1";1;1;1;1;4;"1";1;0;1;1;3;"1";1;0;1;1;3;"4";"4";"4";"";"";"";"";"0";"1";"";"";"1";"3";"";"2";"";"";"2";"7";"0";"selten";"oft";"trifft eher zu";"trifft eher zu";"trifft eher zu";"17";"1";"Weiblich";"20";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;17;7;10
"387";"2024-04-29 12:41:38";1;1;1;0;3;"1";0;1;0;0;1;"2";"1";1;0;1;1;3;0;0;1;"2";1;1;0;1;3;"2";1;1;1;1;4;"2";0;1;0;1;2;"3";"4";"0";"";"";"";"";"1";"0";"";"";"2";"3";"";"2";"";"";"2";"5";"3";"selten";"selten";"trifft eher zu";"trifft vollständig zu";"trifft vollständig zu";"17";"2";"Männlich";"24";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;17;7;10
"388";"2024-04-30 12:09:40";0;1;0;0;1;"1";0;1;0;0;1;"4";"2";0;1;0;1;2;0;0;0;"3";0;1;0;1;2;"3";0;1;0;0;1;"3";0;1;1;1;3;"6";"3";"10";"";"";"";"";"2";"3";"";"";"1";"3";"";"2";"";"";"3";"7";"7";"eher selten";"selten";"trifft eher zu";"trifft vollständig zu";"trifft teilweise zu";"17";"3";"Weiblich";"23";"Student/in";"";"Abitur";"";"Ich habe Deutsch als erste Fremdsprache gelernt.";NA;NA;NA;10;4;6
"389";"2024-04-30 12:23:10";1;0;0;1;2;"2";1;0;0;1;2;"2";"3";1;0;0;1;2;1;0;0;"2";1;1;1;0;3;"2";1;1;1;1;4;"2";1;1;1;1;4;"1";"4";"4";"";"";"";"";"1";"0";"";"";"0";"0";"";"1";"";"";"0";"7";"7";"Ich arbeite zur Zeit nicht.";"immer";"trifft vollständig zu";"trifft vollständig zu";"trifft eher zu";"18";"1";"Männlich";"18";"Schüler/in";"";"Mittlere Reife";"";"Ich habe Deutsch als erste Fremdsprache gelernt.";NA;NA;NA;18;6;12
"390";"2024-04-30 12:32:07";1;1;1;1;4;"3";0;0;0;1;1;"2";"2";0;0;0;1;1;1;0;0;"3";1;1;0;0;2;"3";0;1;1;1;3;"3";1;1;1;0;3;"9";"2";"8";"";"";"";"";"2";"1";"";"";"1";"2";"";"2";"";"";"1";"7";"7";"eher oft";"eher selten";"trifft eher zu";"trifft vollständig zu";"trifft eher nicht zu";"18";"2";"Weiblich";"21";"Auszubildende/r";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;15;6;9
"393";"2024-05-01 09:49:00";1;1;1;0;3;"1";1;1;1;0;3;"2";"1";0;0;0;1;1;0;0;0;"4";0;1;0;0;1;"2";0;0;1;1;2;"3";0;1;1;1;3;"8";"6";"7";"";"";"";"";"3";"2";"";"";"1";"3";"";"2";"";"";"2";"7";"7";"nie";"eher selten";"trifft teilweise zu";"trifft vollständig zu";"trifft teilweise zu";"18";"3";"Weiblich";"24";"Student/in";"";"Abitur";"";"Ich habe Deutsch als erste Fremdsprache gelernt.";NA;NA;NA;13;7;6
"395";"2024-05-01 18:58:15";0;1;1;0;2;"2";0;0;0;0;0;"2";"2";1;1;1;1;4;0;0;0;"2";1;1;0;1;3;"2";0;1;1;0;2;"2";1;1;0;0;2;"9";"7";"9";"";"";"";"";"1";"2";"";"";"2";"4";"";"3";"";"";"3";"4";"5";"selten";"selten";"trifft gar nicht zu";"trifft gar nicht zu";"trifft vollständig zu";"19";"3";"Weiblich";"23";"Auszubildende/r";"";"Fachabitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;13;6;7
"396";"2024-05-01 18:58:42";0;1;0;1;2;"3";0;0;0;1;1;"2";"2";1;1;1;0;3;0;0;0;"3";1;1;0;0;2;"3";0;1;1;1;3;"3";1;1;1;0;3;"5";"6";"5";"";"";"";"";"2";"1";"";"";"1";"2";"";"2";"";"";"3";"7";"7";"immer";"immer";"trifft teilweise zu";"trifft vollständig zu";"trifft vollständig zu";"19";"1";"Männlich";"21";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;14;6;8
"399";"2024-05-02 21:54:40";1;1;1;1;4;"1";0;1;0;0;1;"1";"1";1;0;1;0;2;0;0;1;"1";1;1;1;1;4;"2";0;1;1;0;2;"2";0;1;0;1;2;"2";"9";"0";"";"";"";"";"0";"2";"";"";"2";"2";"";"2";"";"";"2";"7";"0";"manchmal";"selten";"trifft eher zu";"trifft vollständig zu";"trifft vollständig zu";"20";"3";"Weiblich";"21";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;16;7;9
"400";"2024-05-02 22:03:19";1;1;1;0;3;"2";0;0;0;0;0;"3";"2";1;1;1;0;3;0;0;0;"2";1;1;0;1;3;"2";0;1;1;0;2;"3";0;1;1;1;3;"5";"1";"3";"";"";"";"";"1";"2";"";"";"1";"3";"";"3";"";"";"3";"7";"7";"manchmal";"immer";"trifft eher zu";"trifft vollständig zu";"trifft vollständig zu";"20";"1";"Männlich";"27";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;14;6;8
"404";"2024-05-03 11:38:21";0;1;0;1;2;"2";0;1;1;0;2;"3";"2";0;0;0;1;1;1;0;1;"1";1;1;1;1;4;"1";1;1;1;0;3;"1";1;0;1;1;3;"5";"2";"0";"";"";"";"";"0";"1";"";"";"1";"2";"";"3";"";"";"1";"7";"1";"immer";"eher oft";"trifft eher zu";"trifft vollständig zu";"trifft teilweise zu";"20";"2";"Weiblich";"23";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;17;5;12
"414";"2024-05-04 20:02:31";1;0;0;0;1;"1";0;1;0;0;1;"1";"1";1;0;1;0;2;0;1;0;"1";1;1;1;1;4;"2";1;1;1;1;4;"2";1;1;1;1;4;"6";"0";"8";"";"";"";"";"0";"0";"";"";"0";"1";"";"2";"";"";"2";"5";"6";"nie";"selten";"trifft vollständig zu";"trifft eher nicht zu";"trifft vollständig zu";"21";"1";"Männlich";"22";"Student/in";"";"Abitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;17;4;13
"415";"2024-05-04 23:30:33";1;0;0;0;1;"1";0;1;0;0;1;"3";"1";1;0;1;1;3;0;1;1;"1";1;1;1;1;4;"1";1;1;1;0;3;"3";1;1;1;0;3;"0";"0";"0";"";"";"";"";"0";"1";"";"";"1";"1";"";"2";"";"";"2";"7";"5";"immer";"immer";"trifft vollständig zu";"trifft vollständig zu";"trifft vollständig zu";"22";"3";"Weiblich";"23";"Student/in";"";"Hochschulabschluss";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;17;5;12
"424";"2024-05-05 21:14:45";1;0;0;1;2;"1";1;1;0;1;3;"3";"3";1;0;0;1;2;1;1;1;"1";1;1;1;1;4;"2";1;1;1;1;4;"2";1;1;1;1;4;"0";"0";"0";"";"";"";"";"0";"0";"";"";"0";"0";"";"0";"";"";"0";"7";"5";"Ich arbeite zur Zeit nicht.";"immer";"trifft vollständig zu";"trifft vollständig zu";"trifft teilweise zu";"24";"1";"Männlich";"20";"Student/in";"";"Fachabitur";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;22;7;15
"425";"2024-05-05 22:02:15";1;1;0;1;3;"3";0;1;1;1;3;"2";"1";0;0;1;0;1;1;0;0;"1";1;0;0;1;2;"1";0;0;1;0;1;"2";1;1;1;1;4;"7";"8";"8";"";"";"";"";"2";"3";"";"";"0";"1";"";"2";"";"";"2";"7";"7";"Ich arbeite zur Zeit nicht.";"oft";"trifft vollständig zu";"trifft vollständig zu";"trifft eher zu";"24";"3";"Weiblich";"15";"Schüler/in";"";"Hauptschulabschluss";"";"Ich habe Deutsch als erste Fremdsprache gelernt.";NA;NA;NA;15;7;8
"426";"2024-05-06 03:11:06";1;0;0;1;2;"1";1;1;0;1;3;"2";"1";1;0;1;1;3;0;1;0;"1";1;1;1;1;4;"2";1;1;1;1;4;"2";1;1;1;1;4;"3";"0";"6";"";"";"";"";"0";"0";"";"";"0";"0";"";"0";"";"";"2";"5";"3";"selten";"oft";"trifft vollständig zu";"trifft vollständig zu";"trifft eher zu";"25";"2";"Männlich";"24";"Student/in";"";"Hochschulabschluss";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;21;8;13
"434";"2024-05-06 21:47:04";1;1;1;0;3;"1";1;1;1;0;3;"1";"1";0;0;0;0;0;0;1;1;"1";1;0;1;0;2;"1";1;1;1;0;3;"1";1;0;1;1;3;"0";"0";"0";"";"";"";"";"2";"1";"";"";"1";"3";"";"2";"";"";"2";"7";"5";"manchmal";"immer";"trifft vollständig zu";"trifft vollständig zu";"trifft eher zu";"26";"1";"Weiblich";"18";"Schüler/in";"";"Mittlere Reife";"";"Deutsch ist meine Muttersprache.";NA;NA;NA;16;6;10
